pathway_id,from_stop_id,to_stop_id,facility_id,pathway_mode,is_bidirectional,length,wheelchair_length,traversal_time,wheelchair_traversal_time,stair_count,max_slope,pathway_name,pathway_code,signposted_as,instructions
sstat-284,node-sstat-south-farepaid,node-sstat-399stair-lobby,,1,0,17.0688000,17.0688000,,,,,"Paid side of fare gates to Top of stairs for Red Line, Silver Line lobby",,Red Line - All trains,
sstat-285,node-sstat-south-farepaid,node-901-lobby,,1,0,13.4112000,13.4112000,,,,,Paid side of fare gates to Lobby level of Elevator 901,,Red Line - Elevator,
sstat-286,node-sstat-south-farepaid,node-388-lobby,,1,0,11.2776000,11.2776000,,,,,Paid side of fare gates to Top of Escalator 388,,Silver Line - Drop-off only,
sstat-287,node-sstat-south-farepaid,node-sstat-388stair-lobby,,1,0,9.1440000,9.1440000,,,,,Paid side of fare gates to Top of stairs for drop-off only platform,,Silver Line - Drop-off only,
sstat-288,node-sstat-south-farepaid,node-sstat-918stair-lobby,,1,0,24.9936000,24.9936000,,,,,Paid side of fare gates to Top of stairs for SL1/SL2/platform,,Silver Line - SL1/SL2/SL3,
sstat-289,node-sstat-south-farepaid,node-918-lobby,,1,0,20.4216000,20.4216000,,,,,Paid side of fare gates to Lobby level of Elevator 918,,Silver Line - SL1/SL2/SL3,
sstat-290,node-sstat-south-farepaid,node-sstat-411stair-lobby,,1,0,22.5552000,22.5552000,,,,,Paid side of fare gates to Top of stairs for SL1/SL2/platform,,Silver Line - SL1/SL2/SL3,
sstat-291,node-sstat-south-farepaid,node-411-lobby,,1,0,21.0312000,21.0312000,,,,,Paid side of fare gates to Top of Escalator 411,,Silver Line - SL1/SL2/SL3,
sstat-292,node-sstat-419stair-lobby,node-sstat-south-farepaid,,1,0,26.2128000,26.2128000,,,,,"Top of stairs for Red Line, Silver Line lobby to Paid side of fare gates",,"Red Line, Silver Line - SL1/SL2/SL3",
sstat-293,node-419-lobby,node-sstat-south-farepaid,,1,0,21.9456000,21.9456000,,,,,Top of Escalator 419 to Paid side of fare gates,,"Red Line, Silver Line - SL1/SL2/SL4",
sstat-294,node-399-lobby,node-sstat-south-farepaid,,1,0,19.5072000,19.5072000,,,,,Top of Escalator 399 to Paid side of fare gates,,"Red Line, Silver Line - SL1/SL2/SL5",
sstat-295,node-sstat-399stair-lobby,node-sstat-south-farepaid,,1,0,17.0688000,17.0688000,,,,,"Top of stairs for Red Line, Silver Line lobby to Paid side of fare gates",,"Red Line, Silver Line - SL1/SL2/SL6",
sstat-296,node-901-lobby,node-sstat-south-farepaid,,1,0,13.4112000,13.4112000,,,,,Lobby level of Elevator 901 to Paid side of fare gates,,"Red Line, Silver Line - SL1/SL2/SL7",
sstat-297,node-388-lobby,node-sstat-south-farepaid,,1,0,11.2776000,11.2776000,,,,,Top of Escalator 388 to Paid side of fare gates,,"Red Line, Silver Line - SL1/SL2/SL8",
sstat-298,node-sstat-388stair-lobby,node-sstat-south-farepaid,,1,0,9.1440000,9.1440000,,,,,Top of stairs for drop-off only platform to Paid side of fare gates,,"Red Line, Silver Line - SL1/SL2/SL9",
sstat-299,node-sstat-918stair-lobby,node-sstat-south-farepaid,,1,0,24.9936000,24.9936000,,,,,Top of stairs for SL1/SL2/platform to Paid side of fare gates,,"Red Line, Silver Line - SL1/SL2/SL10",
sstat-300,node-918-lobby,node-sstat-south-farepaid,,1,0,20.4216000,20.4216000,,,,,Lobby level of Elevator 918 to Paid side of fare gates,,"Red Line, Silver Line - SL1/SL2/SL11",
sstat-301,node-sstat-411stair-lobby,node-sstat-south-farepaid,,1,0,22.5552000,22.5552000,,,,,Top of stairs for SL1/SL2/platform to Paid side of fare gates,,"Red Line, Silver Line - SL1/SL2/SL12",
sstat-302,node-411-lobby,node-sstat-south-farepaid,,1,0,21.0312000,21.0312000,,,,,Top of Escalator 411 to Paid side of fare gates,,"Red Line, Silver Line - SL1/SL2/SL13",
sstat-303,node-sstat-918stair-lobby,node-901-lobby,,1,0,32.0040000,32.0040000,,,,,Top of stairs for SL1/SL2/platform to Lobby level of Elevator 901,,Red Line - Elevator,
sstat-304,node-sstat-918stair-lobby,node-sstat-419stair-lobby,,1,0,24.3840000,24.3840000,,,,,"Top of stairs for SL1/SL2/platform to Top of stairs for Red Line, Silver Line lobby",,Red Line - All trains,
sstat-305,node-sstat-918stair-lobby,node-sstat-399stair-lobby,,1,0,23.1648000,23.1648000,,,,,"Top of stairs for SL1/SL2/platform to Top of stairs for Red Line, Silver Line lobby",,Red Line - All trains,
sstat-306,node-sstat-918stair-lobby,node-sstat-388stair-lobby,,1,0,28.3464000,28.3464000,,,,,Top of stairs for SL1/SL2/platform to Top of stairs for drop-off only platform,,Silver Line - Drop-off only,
sstat-307,node-sstat-918stair-lobby,node-419-lobby,,1,0,24.0792000,24.0792000,,,,,Top of stairs for SL1/SL2/platform to Top of Escalator 419,,Red Line - All trains,
sstat-308,node-sstat-918stair-lobby,node-399-lobby,,1,0,23.1648000,23.1648000,,,,,Top of stairs for SL1/SL2/platform to Top of Escalator 399,,Red Line - All trains,
sstat-309,node-sstat-918stair-lobby,node-388-lobby,,1,0,30.4800000,30.4800000,,,,,Top of stairs for SL1/SL2/platform to Top of Escalator 388,,Silver Line - Drop-off only,
sstat-310,node-901-lobby,node-sstat-918stair-lobby,,1,0,32.0040000,32.0040000,,,,,Lobby level of Elevator 901 to Top of stairs for SL1/SL2/platform,,Silver Line - SL1/SL2/SL3,
sstat-311,node-sstat-419stair-lobby,node-sstat-918stair-lobby,,1,0,24.3840000,24.3840000,,,,,"Top of stairs for Red Line, Silver Line lobby to Top of stairs for SL1/SL2/platform",,Silver Line - SL1/SL2/SL3,
sstat-312,node-sstat-399stair-lobby,node-sstat-918stair-lobby,,1,0,23.1648000,23.1648000,,,,,"Top of stairs for Red Line, Silver Line lobby to Top of stairs for SL1/SL2/platform",,Silver Line - SL1/SL2/SL3,
sstat-313,node-sstat-388stair-lobby,node-sstat-918stair-lobby,,1,0,28.3464000,28.3464000,,,,,Top of stairs for drop-off only platform to Top of stairs for SL1/SL2/platform,,Silver Line - SL1/SL2/SL3,
sstat-314,node-419-lobby,node-sstat-918stair-lobby,,1,0,24.0792000,24.0792000,,,,,Top of Escalator 419 to Top of stairs for SL1/SL2/platform,,Silver Line - SL1/SL2/SL3,
sstat-315,node-399-lobby,node-sstat-918stair-lobby,,1,0,23.1648000,23.1648000,,,,,Top of Escalator 399 to Top of stairs for SL1/SL2/platform,,Silver Line - SL1/SL2/SL3,
sstat-316,node-388-lobby,node-sstat-918stair-lobby,,1,0,30.4800000,30.4800000,,,,,Top of Escalator 388 to Top of stairs for SL1/SL2/platform,,Silver Line - SL1/SL2/SL3,
sstat-317,node-918-lobby,node-901-lobby,,1,0,28.3464000,28.3464000,,,,,Lobby level of Elevator 918 to Lobby level of Elevator 901,,Red Line - Elevator,
sstat-318,node-918-lobby,node-sstat-419stair-lobby,,1,0,25.6032000,25.6032000,,,,,"Lobby level of Elevator 918 to Top of stairs for Red Line, Silver Line lobby",,Red Line - All trains,
sstat-319,node-918-lobby,node-sstat-399stair-lobby,,1,0,21.0312000,21.0312000,,,,,"Lobby level of Elevator 918 to Top of stairs for Red Line, Silver Line lobby",,Red Line - All trains,
sstat-320,node-918-lobby,node-sstat-388stair-lobby,,1,0,24.9936000,24.9936000,,,,,Lobby level of Elevator 918 to Top of stairs for drop-off only platform,,Silver Line - Drop-off only,
